label,id,name,des,last refreshed,from,to
274,100915,SBI Mutual Fund - SBI Contra Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),ISIN Div Payout/ ISIN Growth: INF200K01347<br><br>ISIN Div Reinvestment: INF200K01354,14-05-2021 20:00,03-04-2006,14-05-2021
275,100927,SBI Mutual Fund - SBI Debt Hybrid Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),ISIN Div Payout/ ISIN Growth: INF200K01867<br><br>ISIN Div Reinvestment: INF200K01875,14-05-2021 20:00,03-04-2006,14-05-2021
276,100928,SBI Mutual Fund - SBI Debt Hybrid Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),ISIN Div Payout/ ISIN Growth: INF200K01883<br><br>ISIN Div Reinvestment: INF200K01891,14-05-2021 20:00,03-04-2006,14-05-2021
279,100949,Franklin Templeton Mutual Fund - Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW,ISIN Div Payout/ ISIN Growth: INF090I01EB5<br><br>ISIN Div Reinvestment: INF090I01EC3,14-05-2021 20:00,03-04-2006,14-05-2021
282,100953,ICICI Prudential Mutual Fund - ICICI Prudential MIP - Dividend Monthly,ISIN Div Payout/ ISIN Growth: INF109K01FH3<br><br>ISIN Div Reinvestment: INF109K01522,14-05-2021 20:00,02-04-2006,25-05-2018
288,100997,HDFC Mutual Fund - HDFC Long Term Advantage Plan - IDCW Plan,ISIN Div Payout/ ISIN Growth: INF179K01970<br><br>ISIN Div Reinvestment: INF179K01988,14-05-2021 20:00,03-04-2006,14-05-2021
298,101065,quant Mutual Fund - quant Mid Cap Fund - Growth Option - Regular Plan,ISIN Div Payout/ ISIN Growth: INF966L01176,14-05-2021 20:00,03-04-2006,14-05-2021
300,101069,quant Mutual Fund - quant Absolute Fund-IDCW Option - Regular Plan,ISIN Div Payout/ ISIN Growth: INF966L01242<br><br>ISIN Div Reinvestment: INF966L01259,14-05-2021 20:00,03-04-2006,14-05-2021
305,101083,HDFC Mutual Fund - HDFC Gilt Fund - Growth Plan,ISIN Div Payout/ ISIN Growth: INF179K01756,14-05-2021 20:00,03-04-2006,14-05-2021
307,101098,ICICI Prudential Mutual Fund - ICICI Prudential Child Care Plan Study - Cumulative,ISIN Div Payout/ ISIN Growth: INF109K01597,14-05-2021 20:00,02-04-2006,25-05-2018
309,101143,ICICI Prudential Mutual Fund - ICICI Prudential Multi-Asset Fund - IDCW,ISIN Div Payout/ ISIN Growth: INF109K01ED5<br><br>ISIN Div Reinvestment: INF109K01779,14-05-2021 20:00,02-04-2006,14-05-2021
311,101161,Nippon India Mutual Fund - Nippon India Multi Cap Fund-Growth Plan-Growth Option,ISIN Div Payout/ ISIN Growth: INF204K01489,14-05-2021 20:00,03-04-2006,14-05-2021
322,101198,LIC Mutual Fund - LIC MF Index Fund-Sensex Plan-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01121<br><br>ISIN Div Reinvestment: INF767K01113,14-05-2021 20:00,03-04-2006,14-05-2021
324,101200,LIC Mutual Fund - LIC MF Index Fund-Nifty Plan-Regular Plan-IDCW,ISIN Div Payout/ ISIN Growth: INF767K01154<br><br>ISIN Div Reinvestment: INF767K01147,14-05-2021 20:00,03-04-2006,14-05-2021
332,101229,ICICI Prudential Mutual Fund - ICICI Prudential Short Term Fund - Institutional Plan - Dividend Monthly,ISIN Div Payout/ ISIN Growth: INF109K01WK2<br><br>ISIN Div Reinvestment: INF109K01670,14-05-2021 20:00,02-04-2006,03-07-2019
338,101238,Franklin Templeton Mutual Fund - Franklin India Short Term Income Plan -  Retail Plan - Quarterly - IDCW,ISIN Div Payout/ ISIN Growth: INF090I01312<br><br>ISIN Div Reinvestment: INF090I01320,14-05-2021 20:00,03-04-2006,14-05-2021
340,101244,Franklin Templeton Mutual Fund - Franklin India Short-Term Income Plan-Institutional Plan - Growth,ISIN Div Payout/ ISIN Growth: INF090I01361,14-05-2021 20:00,03-04-2006,14-05-2021
342,101262,Nippon India Mutual Fund - Nippon India Power & Infra Fund-Growth Plan -Growth Option,ISIN Div Payout/ ISIN Growth: INF204K01AE0,14-05-2021 20:00,03-04-2006,14-05-2021
352,101304,DSP Mutual Fund - DSP Short Term Fund - Regular Plan - Growth,ISIN Div Payout/ ISIN Growth: INF740K01656,14-05-2021 20:00,03-04-2006,14-05-2021
357,101316,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Savings Fund-Retail Growth,ISIN Div Payout/ ISIN Growth: INF209K01MC8,14-05-2021 20:00,03-04-2006,14-05-2021
363,101357,Franklin Templeton Mutual Fund - Franklin India Savings Fund - Growth Option,ISIN Div Payout/ ISIN Growth: INF090I01CA1,14-05-2021 20:00,03-04-2006,14-05-2021
364,101358,Franklin Templeton Mutual Fund - Franklin India Savings Fund - Institutional Option - Growth,ISIN Div Payout/ ISIN Growth: INF090I01BX5,14-05-2021 20:00,03-04-2006,07-09-2015
370,101397,Sahara Mutual Fund - Sahara Liquid Fund-Fixed Pricing -  Weekly Dividend Option,ISIN Div Reinvestment: INF515L01064,19-01-2021 20:00,01-04-2006,27-03-2020
373,101400,Sahara Mutual Fund - Sahara Liquid Fund-Variable Pricing - Weekly Dividend Option,ISIN Div Reinvestment: INF515L01098,19-01-2021 20:00,01-04-2006,27-03-2020
382,101481,HDFC Mutual Fund - HDFC Floating Rate Debt Fund - Retail Growth Option,ISIN Div Payout/ ISIN Growth: INF179K01632,14-05-2021 20:00,02-04-2006,10-05-2019
